#,"Country, Other",Total Cases,Total Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
110,Mozambique,230219,2221.0,227882.0,116.0,11.0,6957.0,67.0,1371127.0,41437.0,33089461.0
111,Brunei,226237,225.0,222140.0,3872.0,3.0,507906.0,505.0,717784.0,1611437.0,445431.0
112,Martinique,221618,1044.0,225011.0,1246.0,8.0,592424.0,2791.0,828928.0,2215870.0,374087.0
113,Laos,215843,758.0,225011.0,1246.0,18.0,28852.0,101.0,1233207.0,164845.0,7481023.0
114,Kyrgyzstan,206083,2991.0,196406.0,6686.0,131.0,30629.0,445.0,1907195.0,283460.0,6728271.0
115,Iceland,205637,213.0,225011.0,1246.0,2.0,595371.0,617.0,1996384.0,5780036.0,345393.0
116,El Salvador,201785,4229.0,179410.0,18146.0,8.0,30805.0,646.0,2610114.0,398467.0,6550389.0
117,Afghanistan,199067,7799.0,177850.0,13418.0,1124.0,4885.0,191.0,1103716.0,27082.0,40754388.0
118,Guadeloupe,192801,989.0,225011.0,1246.0,19.0,482251.0,2474.0,938039.0,2346306.0,399794.0
119,Maldives,185042,308.0,163687.0,21047.0,25.0,342046.0,569.0,2213831.0,4092223.0,540985.0
